index,layers,channels,kernel_size,samples_per_class,mean_training_accuracy,mean_test_accuracy
0,3,32,3,50000,1,0.803966667
1,4,32,3,50000,1,0.8284
2,5,32,3,50000,1,0.837533333
3,6,32,3,50000,1,0.851366667
4,7,32,3,50000,1,0.857566667
5,8,32,3,50000,1,0.859633333
6,9,32,3,50000,1,0.8636
7,10,32,3,50000,1,0.8665
8,11,32,3,50000,1,0.8669
9,12,32,3,50000,1,0.862933333
10,13,32,3,50000,0.999946667,0.864433333
11,14,32,3,50000,0.999933333,0.866233333
12,15,32,3,50000,1,0.865533333
13,16,32,3,50000,1,0.8675
14,17,32,3,50000,1,0.8652
15,18,32,3,50000,0.9996,0.8574
0,13,2,3,50000,0.765966667,0.608566667
1,13,3,3,50000,0.872193333,0.638733333
2,13,4,3,50000,0.9454,0.6792
3,13,5,3,50000,0.974826667,0.7175
4,13,6,3,50000,0.984393333,0.7328
5,13,7,3,50000,0.989906667,0.752866667
6,13,8,3,50000,0.993313333,0.771233333
7,13,9,3,50000,0.995466667,0.782966667
8,13,10,3,50000,0.995066667,0.7896
9,13,11,3,50000,0.99582,0.794466667
10,13,12,3,50000,0.99706,0.802933333
11,13,13,3,50000,0.997766667,0.809433333
12,13,14,3,50000,0.998953333,0.814733333
13,13,15,3,50000,0.999133333,0.821966667
14,13,16,3,50000,0.998813333,0.8259
15,13,17,3,50000,0.999966667,0.835433333
16,13,18,3,50000,0.999453333,0.836033333
17,13,19,3,50000,0.9995,0.8403
18,13,20,3,50000,0.999966667,0.845666667
19,13,21,3,50000,0.999846667,0.843
20,13,22,3,50000,0.998553333,0.837
21,13,23,3,50000,1,0.856
22,13,24,3,50000,0.9992,0.8509
23,13,25,3,50000,0.99986,0.856533333
24,13,26,3,50000,0.999886667,0.856966667
25,13,27,3,50000,1,0.861266667
26,13,28,3,50000,0.999566667,0.856866667
27,13,29,3,50000,0.999586667,0.8589
28,13,30,3,50000,0.999053333,0.861333333
29,13,31,3,50000,0.999866667,0.8652
30,13,32,3,50000,0.999946667,0.864433333
0,13,32,3,50000,0.999946667,0.864433333
1,13,32,4,50000,0.999213333,0.854333333
2,13,32,5,50000,0.999773333,0.8582
3,13,32,6,50000,0.998253333,0.842666667
4,13,32,7,50000,0.998413333,0.833133333
5,13,32,8,50000,0.99842,0.818966667
6,13,32,9,50000,0.996486667,0.8108
7,13,32,10,50000,0.99768,0.799733333
8,13,32,11,50000,0.99682,0.788033333
0,13,32,3,5000,0.998,0.672833333
1,13,32,3,10000,1,0.7536
2,13,32,3,15000,1,0.7919
3,13,32,3,20000,1,0.8138
4,13,32,3,25000,1,0.827966667
5,13,32,3,30000,1,0.837766667
6,13,32,3,35000,1,0.849
7,13,32,3,40000,1,0.8544
8,13,32,3,45000,0.999874074,0.8595
9,13,32,3,50000,0.999946667,0.864433333
