index,date,layers,channels,kernel_size,samples_per_class,mean_training_accuracy,mean_test_accuracy
0,Thu Feb 16 00:18:38 2023,3,32,3,50000,1,0.803966667
1,Thu Feb 16 02:18:03 2023,4,32,3,50000,1,0.8284
2,Thu Feb 16 04:22:23 2023,5,32,3,50000,1,0.837533333
3,Thu Feb 16 06:29:26 2023,6,32,3,50000,1,0.851366667
4,Thu Feb 16 08:38:22 2023,7,32,3,50000,1,0.857566667
5,Thu Feb 16 10:51:27 2023,8,32,3,50000,1,0.859633333
6,Thu Feb 16 13:10:45 2023,9,32,3,50000,1,0.8636
7,Thu Feb 16 15:34:15 2023,10,32,3,50000,1,0.8665
8,Thu Feb 16 18:02:50 2023,11,32,3,50000,1,0.8669
9,Thu Feb 16 20:34:16 2023,12,32,3,50000,1,0.862933333
10,Thu Feb 16 23:13:16 2023,13,32,3,50000,0.999946667,0.864433333
11,Fri Feb 17 01:54:35 2023,14,32,3,50000,0.999933333,0.866233333
12,Fri Feb 17 04:39:06 2023,15,32,3,50000,1,0.865533333
13,Fri Feb 17 07:26:25 2023,16,32,3,50000,1,0.8675
14,Fri Feb 17 10:16:29 2023,17,32,3,50000,1,0.8652
15,Fri Feb 17 13:10:25 2023,18,32,3,50000,0.9996,0.8574
16,Fri Feb 24 12:27:53 2023,13,2,3,50000,0.765966667,0.608566667
17,Fri Feb 24 20:54:06 2023,13,3,3,50000,0.872193333,0.638733333
18,Fri Feb 24 22:08:41 2023,13,4,3,50000,0.9454,0.6792
19,Thu Feb  9 03:32:45 2023,13,5,3,50000,0.974826667,0.7175
20,Thu Feb  9 05:36:34 2023,13,6,3,50000,0.984393333,0.7328
21,Sat Feb 11 00:49:05 2023,13,7,3,50000,0.989906667,0.752866667
22,Wed Feb  8 04:01:47 2023,13,8,3,50000,0.993313333,0.771233333
23,Fri Feb 10 21:08:52 2023,13,9,3,50000,0.995466667,0.782966667
24,Fri Feb 10 22:29:23 2023,13,10,3,50000,0.995066667,0.7896
25,Fri Feb 10 23:49:42 2023,13,11,3,50000,0.99582,0.794466667
26,Tue Feb 14 19:00:06 2023,13,12,3,50000,0.99706,0.802933333
27,Tue Feb 14 20:16:36 2023,13,13,3,50000,0.997766667,0.809433333
28,Tue Feb 14 21:34:05 2023,13,14,3,50000,0.998953333,0.814733333
29,Tue Feb 14 22:51:22 2023,13,15,3,50000,0.999133333,0.821966667
30,Tue Feb  7 10:50:18 2023,13,16,3,50000,0.998813333,0.8259
31,Mon Feb 27 09:40:58 2023,13,17,3,50000,0.999966667,0.835433333
32,Mon Feb 27 10:58:49 2023,13,18,3,50000,0.999453333,0.836033333
33,Tue Feb 21 08:42:49 2023,13,19,3,50000,0.9995,0.8403
34,Tue Feb 21 10:01:48 2023,13,20,3,50000,0.999966667,0.845666667
35,Thu Feb 23 07:33:24 2023,13,21,3,50000,0.999846667,0.843
36,Thu Feb 23 08:50:44 2023,13,22,3,50000,0.998553333,0.837
37,Mon Feb 27 12:16:51 2023,13,23,3,50000,1,0.856
38,Mon Feb 27 13:34:38 2023,13,24,3,50000,0.9992,0.8509
39,Mon Feb 27 14:53:08 2023,13,25,3,50000,0.99986,0.856533333
40,Mon Feb 27 16:10:57 2023,13,26,3,50000,0.999886667,0.856966667
41,Mon Feb 27 17:28:38 2023,13,27,3,50000,1,0.861266667
42,Mon Feb 27 18:46:35 2023,13,28,3,50000,0.999566667,0.856866667
43,Mon Feb 27 20:04:14 2023,13,29,3,50000,0.999586667,0.8589
44,Mon Feb 27 21:22:10 2023,13,30,3,50000,0.999053333,0.861333333
45,Thu Feb 16 21:54:07 2023,13,31,3,50000,0.999866667,0.8652
46,Thu Feb 16 23:13:16 2023,13,32,3,50000,0.999946667,0.864433333
47,Thu Feb 16 23:13:16 2023,13,32,3,50000,0.999946667,0.864433333
48,Tue Feb 28 13:04:29 2023,13,32,4,50000,0.999213333,0.854333333
49,Tue Feb 28 12:54:17 2023,13,32,5,50000,0.999773333,0.8582
50,Tue Feb 28 13:02:48 2023,13,32,6,50000,0.998253333,0.842666667
51,Tue Feb 28 13:18:49 2023,13,32,7,50000,0.998413333,0.833133333
52,Tue Feb 28 13:19:18 2023,13,32,8,50000,0.99842,0.818966667
53,Tue Feb 28 14:16:51 2023,13,32,9,50000,0.996486667,0.8108
54,Tue Feb 28 14:19:52 2023,13,32,10,50000,0.99768,0.799733333
55,Tue Feb 28 17:16:43 2023,13,32,11,50000,0.99682,0.788033333
56,Tue Feb 28 17:10:26 2023,13,32,3,5000,0.998,0.672833333
57,Tue Feb 28 17:18:59 2023,13,32,3,10000,1,0.7536
58,Tue Feb 28 16:35:24 2023,13,32,3,15000,1,0.7919
59,Tue Feb 28 16:42:53 2023,13,32,3,20000,1,0.8138
60,Tue Feb 28 16:52:12 2023,13,32,3,25000,1,0.827966667
61,Tue Feb 28 17:00:16 2023,13,32,3,30000,1,0.837766667
62,Tue Feb 28 16:53:52 2023,13,32,3,35000,1,0.849
63,Tue Feb 28 17:04:07 2023,13,32,3,40000,1,0.8544
64,Tue Feb 28 17:04:15 2023,13,32,3,45000,0.999874074,0.8595
65,Thu Feb 16 23:13:16 2023,13,32,3,50000,0.999946667,0.864433333
